Date,NASDAQ:META,NASDAQ:GOOGL,NASDAQ:GOOG,NYSE:BABA,NASDAQ:AAPL,NASDAQ:COIN,NYSE:ESTC,NYSE:SNOW,OTCMKTS:TCEHY,NASDAQ:TSLA,NYSE:TSM
1/1/2024,#N/A,138.17,139.56,74.76,185.64,156.88,106.54,189.12,37.4,248.42,101.53
1/2/2024,346.29,138.17,139.56,74.76,185.64,156.88,106.54,189.12,37.4,248.42,101.53
1/3/2024,344.47,138.92,140.36,76.59,184.25,152.24,105.65,184.21,38.75,238.45,100.17
1/4/2024,347.12,136.39,138.04,74.66,181.91,155.6,103.34,183.72,37.82,237.93,99.13
1/5/2024,351.95,135.73,137.39,73.01,181.18,153.98,104.1,189.12,37.36,237.49,99.61
1/6/2024,358.66,138.84,140.53,72.88,185.56,159.42,108.69,196.35,37.26,240.45,102.24
1/7/2024,358.66,138.84,140.53,72.88,185.56,159.42,108.69,196.35,37.26,240.45,102.24
1/8/2024,358.66,138.84,140.53,72.88,185.56,159.42,108.69,196.35,37.26,240.45,102.24
1/9/2024,357.43,140.95,142.56,72.02,185.14,151.99,108.61,196.9,36.26,234.96,101.89
1/10/2024,370.47,142.28,143.8,71.41,186.19,151.29,108.04,197.4,35.83,233.94,100.8
1/11/2024,369.67,142.08,143.67,72.38,185.59,141.16,112.29,195.62,36.79,227.22,101.22
1/12/2024,374.49,142.65,144.24,71.84,185.92,130.78,111.94,191.26,36.93,218.89,101.24
1/13/2024,367.46,142.49,144.08,69.46,183.63,133.88,116.58,188.02,35.68,219.91,101.67
1/14/2024,367.46,142.49,144.08,69.46,183.63,133.88,116.58,188.02,35.68,219.91,101.67
1/15/2024,367.46,142.49,144.08,69.46,183.63,133.88,116.58,188.02,35.68,219.91,101.67
1/16/2024,367.46,142.49,144.08,69.46,183.63,133.88,116.58,188.02,35.68,219.91,101.67
1/17/2024,368.37,141.47,142.89,68.93,182.68,133.86,116.16,188.12,35.24,215.55,102.95
1/18/2024,376.13,143.48,144.99,68.05,188.63,124.34,118.25,186.61,35.49,211.88,113.03
1/19/2024,383.45,146.38,147.97,69.42,191.56,124.75,120.33,193.12,35.21,212.19,114.2
1/20/2024,381.78,145.99,147.71,68.63,193.89,128.21,123.22,199.08,34.12,208.8,113.03
1/21/2024,381.78,145.99,147.71,68.63,193.89,128.21,123.22,199.08,34.12,208.8,113.03
1/22/2024,381.78,145.99,147.71,68.63,193.89,128.21,123.22,199.08,34.12,208.8,113.03
1/23/2024,385.2,147.04,148.68,74.02,195.18,124.19,122.23,205.58,36.02,209.14,114.13
1/24/2024,390.7,148.7,150.35,75.2,194.5,121.34,119.42,203.81,36.4,207.83,116.52
1/25/2024,393.18,151.87,153.64,73.85,194.17,121.01,118.12,206.01,37,182.63,116.56
1/26/2024,394.14,152.19,153.79,74.01,192.42,125.2,117.64,202.51,36.55,183.25,117.26
1/27/2024,401.02,153.51,154.84,73.58,191.73,132.82,123.18,209.54,35.72,190.93,116.98
1/28/2024,401.02,153.51,154.84,73.58,191.73,132.82,123.18,209.54,35.72,190.93,116.98
1/29/2024,401.02,153.51,154.84,73.58,191.73,132.82,123.18,209.54,35.72,190.93,116.98
1/30/2024,400.06,151.46,153.05,72.32,188.04,130.82,121.55,206.25,34.9,191.59,116.06
1/31/2024,390.14,140.1,141.8,72.17,184.4,128.2,117.06,195.64,34.84,187.29,112.96
2/1/2024,394.78,141.16,142.71,72.46,186.86,128.95,118.66,199.94,34.88,188.86,113.39
2/2/2024,474.99,142.38,143.54,71.85,185.85,129.22,124.6,218.76,35.29,187.91,115.75
2/3/2024,459.41,143.68,144.93,74.63,187.68,117.3,122.26,215.6,36.05,181.06,118.79
2/4/2024,459.41,143.68,144.93,74.63,187.68,117.3,122.26,215.6,36.05,181.06,118.79
2/5/2024,459.41,143.68,144.93,74.63,187.68,117.3,122.26,215.6,36.05,181.06,118.79
2/6/2024,454.72,144.1,145.41,78.23,189.3,119.79,122.23,213.68,37.75,185.1,119.38
2/7/2024,469.59,145.54,146.68,73.64,189.41,122.07,125.5,218.23,37.27,187.58,124.98
2/8/2024,470,145.91,147.22,70.78,188.32,132.55,126.54,222.9,36.23,189.56,133.73
2/9/2024,468.11,149,150.22,72.02,188.85,141.99,130.39,233.28,37.06,193.57,133.11
2/10/2024,468.9,147.53,148.73,73.14,187.15,147.31,127.68,232.16,37.49,188.13,130.46
2/11/2024,468.9,147.53,148.73,73.14,187.15,147.31,127.68,232.16,37.49,188.13,130.46
2/12/2024,468.9,147.53,148.73,73.14,187.15,147.31,127.68,232.16,37.49,188.13,130.46
2/13/2024,460.12,145.14,146.37,71.6,185.04,140.39,122.55,227.57,36.79,184.02,127.55
2/14/2024,473.28,145.94,147.14,73.39,184.15,160.38,126.6,236,37.24,188.71,129.27
2/15/2024,484.03,142.77,143.94,73.82,183.86,165.67,132.52,232.4,36.63,200.45,129.03
2/16/2024,473.32,140.52,141.76,73.91,182.31,180.31,130.27,230.31,36.91,199.95,126.69
2/17/2024,471.75,141.12,142.2,73.14,181.56,173.3,125.38,220.08,35.99,193.76,125.33
2/18/2024,471.75,141.12,142.2,73.14,181.56,173.3,125.38,220.08,35.99,193.76,125.33
2/19/2024,471.75,141.12,142.2,73.14,181.56,173.3,125.38,220.08,35.99,193.76,125.33
2/20/2024,471.75,141.12,142.2,73.14,181.56,173.3,125.38,220.08,35.99,193.76,125.33
2/21/2024,468.03,142.55,143.84,75.58,182.32,162.41,121.28,216.21,36.74,194.77,125.34
2/22/2024,486.13,144.09,145.32,76.12,184.37,170.91,127.56,225.62,36.94,197.41,129.07
2/23/2024,484.03,143.96,145.29,75.96,182.52,165.98,129.62,229.34,36.95,191.97,129.53
2/24/2024,481.74,137.57,138.75,76.51,181.16,193.94,130.7,230.93,36.53,199.4,130.64
2/25/2024,481.74,137.57,138.75,76.51,181.16,193.94,130.7,230.93,36.53,199.4,130.64
2/26/2024,481.74,137.57,138.75,76.51,181.16,193.94,130.7,230.93,36.53,199.4,130.64
2/27/2024,487.05,138.88,140.1,77.68,182.63,199.22,131.21,234.03,36.42,199.73,128.59
2/28/2024,484.02,136.38,137.43,74.59,181.42,200.8,129.71,230,34.98,202.04,127.38
2/29/2024,490.13,138.46,139.78,74.03,180.75,203.56,133.81,188.28,34.94,201.88,128.67
3/1/2024,502.3,137.14,138.08,74.62,179.66,205.77,117.01,186.72,35.27,202.64,133.9
3/2/2024,498.19,133.35,134.2,72,175.1,229.15,108.4,177.93,34.73,188.14,138.26
3/3/2024,498.19,133.35,134.2,72,175.1,229.15,108.4,177.93,34.73,188.14,138.26
3/4/2024,498.19,133.35,134.2,72,175.1,229.15,108.4,177.93,34.73,188.14,138.26
3/5/2024,490.22,132.67,133.78,72.07,170.12,216.77,108.4,167.75,34.06,180.74,134.97
3/6/2024,496.09,131.4,132.56,73.71,169.12,238.55,108.35,167,34.98,176.54,141.57
3/7/2024,512.19,134.38,135.24,72.54,169,242.62,106.8,168.44,34.63,178.65,149.2
3/8/2024,505.95,135.41,136.29,73.55,170.73,256.62,105.73,162.4,34.51,175.34,146.37
3/9/2024,483.59,137.67,138.94,74.86,172.75,254.17,103.86,162.29,35.61,177.77,139.02
3/10/2024,483.59,137.67,138.94,74.86,172.75,254.17,103.86,162.29,35.61,177.77,139.02
3/11/2024,483.59,137.67,138.94,74.86,172.75,254.17,103.86,162.29,35.61,177.77,139.02
3/12/2024,499.75,138.5,139.62,76.06,173.23,256.14,105.91,161.95,36.98,177.54,144.4
3/13/2024,495.57,139.79,140.77,76.39,171.13,251.73,106.23,162.31,37.04,169.48,142.14
3/14/2024,491.83,143.1,144.34,73.4,173,233.67,103.06,158.92,36.56,162.5,139.62
3/15/2024,484.1,141.18,142.17,73.42,172.62,242.36,101.08,156.97,36.14,163.57,136.98
3/16/2024,496.98,147.68,148.48,73.52,173.72,239.62,101.6,156.31,36.85,173.8,136.64
3/17/2024,496.98,147.68,148.48,73.52,173.72,239.62,101.6,156.31,36.85,173.8,136.64
3/18/2024,496.98,147.68,148.48,73.52,173.72,239.62,101.6,156.31,36.85,173.8,136.64
3/19/2024,496.24,147.03,147.92,73.42,176.08,230.12,101.84,157.7,36.57,171.32,134.87
3/20/2024,505.52,148.74,149.68,74.18,178.67,256.88,103.48,163.04,37.21,175.66,136.75
3/21/2024,507.76,147.6,148.74,73.83,171.37,262,100.93,158.39,36.84,172.82,139.45
3/22/2024,509.58,150.77,151.77,72.13,172.28,255.51,102.38,159.03,36.91,170.83,140.54
3/23/2024,503.02,150.07,151.15,71.46,170.85,279.71,101.05,158.14,36.95,172.63,140.23
3/24/2024,503.02,150.07,151.15,71.46,170.85,279.71,101.05,158.14,36.95,172.63,140.23
3/25/2024,503.02,150.07,151.15,71.46,170.85,279.71,101.05,158.14,36.95,172.63,140.23
3/26/2024,495.89,150.67,151.7,71.48,169.71,266.81,100.45,158.02,38.05,177.67,138.84
3/27/2024,493.86,150.87,151.94,71.59,173.31,256.7,100.13,160.04,38.91,179.83,136.69
3/28/2024,485.58,150.93,152.26,72.36,171.48,265.12,100.24,161.6,39.03,175.79,136.05
3/29/2024,491.35,155.49,156.5,73.37,170.03,252.11,100.56,160.52,39.43,175.22,141.49
3/30/2024,491.35,155.49,156.5,73.37,170.03,252.11,100.56,160.52,39.43,175.22,141.49
3/31/2024,491.35,155.49,156.5,73.37,170.03,252.11,100.56,160.52,39.43,175.22,141.49
